lambda,beta_sca,beta_abs
360.0,0.0,6.34132e-09
370.0,0.0,1.1726068e-09
380.0,0.0,1.5143932000000002e-09
390.0,0.0,3.5661864e-09
400.0,0.0,8.206097999999999e-09
410.0,0.0,1.4848362e-08
420.0,0.0,2.966448e-08
430.0,0.0,4.5415674e-08
440.0,0.0,8.501667999999999e-08
450.0,0.0,1.2446184e-07
460.0,0.0,1.9717206e-07
470.0,0.0,2.6461576e-07
480.00000000000006,0.0,4.1659248e-07
490.00000000000006,0.0,4.845198400000001e-07
500.00000000000006,0.0,7.95352e-07
509.99999999999994,0.0,8.609148e-07
520.0,0.0,1.1494986e-06
530.0,0.0,1.480537e-06
540.0,0.0,1.6611034e-06
550.0,0.0,1.8809e-06
560.0,0.0,2.2925484e-06
570.0,0.0,2.5107328e-06
580.0,0.0,2.3634852000000004e-06
590.0,0.0,2.5263174e-06
600.0,0.0,2.6972105999999997e-06
610.0,0.0,2.313507e-06
620.0,0.0,2.0098759999999998e-06
630.0,0.0,1.727741e-06
640.0,0.0,1.4305588e-06
650.0,0.0,1.2027012e-06
660.0,0.0,9.952648e-07
670.0,0.0,7.915902e-07
680.0,0.0,6.497166e-07
690.0,0.0,5.0639202e-07
700.0,0.0,4.006317e-07
710.0,0.0,3.5285684e-07
720.0,0.0,2.743427e-07
730.0,0.0,2.23021e-07
740.0,0.0,2.2721271999999997e-07
750.0,0.0,1.7395638e-07
760.0,0.0,1.3171674e-07
770.0,0.0,1.5052574e-07
780.0,0.0,1.3617716000000001e-07
790.0,0.0,8.727376000000001e-08
800.0,0.0,7.87291e-08
810.0,0.0,1.1167172e-07
820.0,0.0,7.432242e-08
830.0,0.0,3.818227e-08
