lambda,beta_abs
3.6e-07,6.34132e-09
3.7205128205128207e-07,1.2427168307692312e-09
3.841025641025641e-07,2.3561545128205097e-09
3.9615384615384616e-07,6.4215166153846265e-09
4.0820512820512823e-07,1.365616076923079e-08
4.2025641025641025e-07,3.006835676923075e-08
4.323076923076923e-07,5.4554367692307677e-08
4.4435897435897434e-07,1.02210724102564e-07
4.564102564102564e-07,1.7107095538461546e-07
4.684615384615385e-07,2.542398061538463e-07
4.805128205128204e-07,4.200759343589735e-07
4.925641025641025e-07,5.642203938461533e-07
5.046153846153846e-07,8.256117538461538e-07
5.166666666666667e-07,1.053304e-06
5.287179487179487e-07,1.4380961794871797e-06
5.407692307692308e-07,1.6780108307692312e-06
5.528205128205129e-07,1.9970059589743614e-06
5.648717948717948e-07,2.3988433641025634e-06
5.769230769230769e-07,2.408792153846154e-06
5.88974358974359e-07,2.509616661538462e-06
6.01025641025641e-07,2.6578563846153866e-06
6.13076923076923e-07,2.2200820769230782e-06
6.251282051282051e-07,1.8651913846153856e-06
6.371794871794872e-07,1.514379420512821e-06
6.492307692307692e-07,1.2202287076923057e-06
6.612820512820513e-07,9.691526717948717e-07
6.733333333333334e-07,7.44298999999999e-07
6.853846153846155e-07,5.725418261538451e-07
6.974358974358974e-07,4.2774973076923056e-07
7.094871794871795e-07,3.5530683282051274e-07
7.215384615384616e-07,2.664470538461537e-07
7.335897435897435e-07,2.2452571999999997e-07
7.456410256410256e-07,1.971706820512821e-07
7.576923076923077e-07,1.414643492307691e-07
7.697435897435897e-07,1.5004345794871786e-07
7.817948717948718e-07,1.273996266666664e-07
7.938461538461539e-07,8.398735230769229e-08
8.05897435897436e-07,9.815679897435926e-08
8.179487179487179e-07,8.198381487179491e-08
8.3e-07,3.818227e-08
