lambda,ior
3.6e-07,3.4821926537809134e-06
3.935714285714286e-07,3.4534207209446777e-06
4.271428571428571e-07,3.4315307098076175e-06
4.607142857142857e-07,3.4144281930714726e-06
4.942857142857143e-07,3.4007645937084163e-06
5.278571428571428e-07,3.389636722417322e-06
5.614285714285714e-07,3.3804197407949488e-06
5.95e-07,3.3726694166347215e-06
6.285714285714286e-07,3.366062459209118e-06
6.621428571428571e-07,3.3603587739072793e-06
6.957142857142857e-07,3.3553768530314443e-06
7.292857142857143e-07,3.35097729209366e-06
7.628571428571428e-07,3.3470514988476197e-06
7.964285714285715e-07,3.343513792053443e-06
8.3e-07,3.340295773979207e-06
